id,topic,question,answer,source
1,Leave Requests,How do I request leave during my internship?,"Interns must submit a leave request through the internal HR portal at least 2 working days in advance, specifying the reason and duration.",Leave Requests Policy
2,Leave Requests,What happens if I need emergency leave with no notice?,Interns should immediately inform their Team Lead via email or chat and follow up with a formal leave request once possible.,Leave Requests Policy
3,Working Hours,What are the standard working hours for interns?,"Interns are expected to work 6 hours per day, Monday to Friday, between 10:00 AM and 6:00 PM, unless otherwise agreed with their Team Lead.",Working Hours Policy
4,Working Hours,Are interns required to log their daily working hours?,"Yes, interns must log their daily working hours in the internal timesheet system by the end of each working day.",Working Hours Policy
5,Attendance,What is considered acceptable attendance for interns?,"Interns are expected to maintain at least 90% attendance over the course of the internship, tracked via daily check-ins.",Attendance Policy
6,Attendance,What should I do if I will be absent?,Interns must notify their Team Lead at least 1 hour before their shift starts if they will be absent that day.,Attendance Policy
7,Internship Guidelines,What is the total duration of the AI automation internship?,"The internship program runs for 6 weeks, structured into weekly milestones and deliverables reviewed by the assigned Team Lead.",Internship Guidelines Handbook
8,Internship Guidelines,Do interns need to sign an internship agreement?,"Yes, all interns must sign an internship agreement outlining responsibilities, confidentiality terms, and evaluation criteria before starting.",Internship Guidelines Handbook
9,Code of Conduct,What behavior is expected from interns in the workplace?,"Interns must maintain professionalism, respect colleagues, avoid discriminatory language, and adhere to company ethical standards at all times.",Code of Conduct Policy
10,Code of Conduct,Are interns allowed to share confidential company information externally?,"No, sharing confidential company information with external parties is strictly prohibited and may result in termination of the internship.",Code of Conduct Policy
11,Meetings,How often do interns attend team meetings?,Interns attend a weekly progress meeting with their Team Lead every Monday to review deliverables and plan upcoming tasks.,Meetings Policy
12,Meetings,What should interns do if they cannot attend a scheduled meeting?,Interns must inform their Team Lead at least 30 minutes in advance and request meeting notes or a summary afterward.,Meetings Policy
13,Communication,What is the primary communication channel for internship tasks?,"All task-related communication should go through the official Slack workspace or company email, not personal messaging apps.",Communication Policy
14,Communication,How quickly should interns respond to messages from their Team Lead?,Interns are expected to respond to Team Lead messages within 2 working hours during working hours.,Communication Policy
15,Security,What security practices must interns follow when accessing company systems?,"Interns must use company-approved VPNs, enable two-factor authentication, and never share login credentials with anyone.",Security Policy
16,Security,What should interns do if they suspect a security breach?,Interns must immediately report any suspected security breach to the IT department and their Team Lead without delay.,Security Policy
17,Project Guidelines,How are internship projects assigned to interns?,Projects are assigned by the Team Lead based on the intern's skill set and are documented in a shared project tracker.,Project Guidelines Handbook
18,Project Guidelines,What is required before starting a new project task?,Interns must review the task requirements document and confirm scope with their Team Lead before beginning work.,Project Guidelines Handbook
19,Remote Work,Are interns allowed to work remotely?,"Interns may work remotely with prior approval from their Team Lead, provided they remain reachable during working hours.",Remote Work Policy
20,Remote Work,What equipment is required for remote work?,Interns working remotely must have a stable internet connection and access to company-approved software tools.,Remote Work Policy
21,Performance,How is intern performance measured?,"Performance is measured through weekly deliverables, task quality, adherence to deadlines, and feedback from the Team Lead.",Performance Evaluation Policy
22,Performance,What happens if an intern's performance is below expectations?,The Team Lead will schedule a one-on-one discussion to identify challenges and set a performance improvement plan.,Performance Evaluation Policy
23,Reporting,What reports are interns required to submit?,Interns must submit a daily progress report and a weekly summary report to their Team Lead.,Reporting Policy
24,Reporting,What should a daily progress report include?,"A daily progress report should include tasks completed, blockers encountered, and plans for the next working day.",Reporting Policy
25,Holidays,Are interns required to work on public holidays?,"No, interns are not required to work on officially recognized public holidays as per the company holiday calendar.",Holidays Policy
26,Holidays,Will interns be compensated for holidays that fall during the internship?,Public holidays falling within the internship duration are treated as non-working days and do not affect the internship timeline.,Holidays Policy
27,Professional Behavior,What is expected of interns during client-facing interactions?,Interns must maintain formal and respectful communication and avoid making commitments without Team Lead approval.,Professional Behavior Guidelines
28,Professional Behavior,Is casual attire acceptable during virtual meetings?,Interns are expected to maintain a neat and professional appearance during all virtual meetings and calls.,Professional Behavior Guidelines
29,Equipment,What equipment does the company provide to interns?,The company provides access to necessary software licenses; interns are expected to use their own personal laptops unless stated otherwise.,Equipment Policy
30,Equipment,What should interns do if provided equipment malfunctions?,Interns should report equipment issues to the IT support team immediately for troubleshooting or replacement.,Equipment Policy
31,Data Protection,How should interns handle sensitive company data?,Sensitive data must be stored only on approved company systems and never copied to personal devices or cloud storage.,Data Protection Policy
32,Data Protection,What is the policy on data retention after internship completion?,Interns must delete all company-related data from personal devices within 48 hours of internship completion.,Data Protection Policy
33,Workplace Communication,How should disagreements between interns and team members be handled?,"Disagreements should be addressed respectfully and, if unresolved, escalated to the Team Lead for mediation.",Workplace Communication Policy
34,Workplace Communication,Is it acceptable to use informal language in official emails?,"No, all official emails should maintain a professional tone and avoid slang or informal abbreviations.",Workplace Communication Policy
35,Internship Evaluation,When does the final internship evaluation take place?,"The final evaluation takes place during the last week of the internship, based on cumulative performance and deliverables.",Internship Evaluation Policy
36,Internship Evaluation,What criteria are used in the final evaluation?,"Evaluation criteria include technical skill, task completion rate, communication, and adherence to company policies.",Internship Evaluation Policy
37,Task Submission,What is the deadline for submitting weekly deliverables?,Weekly deliverables must be submitted by 6:00 PM every Friday through the designated project repository.,Task Submission Policy
38,Task Submission,What happens if an intern misses a task submission deadline?,Missed deadlines must be reported to the Team Lead immediately with an explanation and a revised submission timeline.,Task Submission Policy
39,General Company Procedures,How do interns request access to internal tools?,"Interns must submit an access request form to IT, co-signed by their Team Lead, before receiving credentials.",General Company Procedures Manual
40,General Company Procedures,What is the process for onboarding new interns?,"Onboarding includes agreement signing, tool access setup, an orientation session, and introduction to the assigned team.",General Company Procedures Manual
41,Escalation,What is the escalation path if an intern has an unresolved issue with their Team Lead?,Unresolved issues should be escalated to the HR department or internship program coordinator in writing.,Escalation Policy
42,Escalation,How quickly are escalated issues expected to be addressed?,Escalated issues are typically reviewed and responded to within 3 working days.,Escalation Policy
43,Feedback,How often do interns receive feedback on their work?,Interns receive informal feedback weekly during progress meetings and formal feedback at the midpoint of the internship.,Feedback Policy
44,Feedback,Can interns request additional feedback outside scheduled reviews?,"Yes, interns may request additional feedback from their Team Lead at any time via direct message or email.",Feedback Policy
45,Documentation,What documentation must interns maintain for their projects?,"Interns must maintain a project log, README files for code repositories, and updated task documentation throughout the internship.",Documentation Policy
46,Documentation,Where should internship documentation be stored?,"All documentation should be stored in the designated shared internship repository, not on personal drives.",Documentation Policy
47,Training,Is training provided at the start of the internship?,"Yes, interns receive an initial training session covering company tools, workflows, and security practices during week one.",Training Policy
48,Training,Are interns required to complete any additional training modules?,Interns must complete assigned online training modules on data security and workplace conduct within the first two weeks.,Training Policy
49,Workplace Safety,What workplace safety guidelines apply to interns working on-site?,"Interns must follow all posted safety signage, use designated walkways, and report hazards to facility management immediately.",Workplace Safety Policy
50,Workplace Safety,What should an intern do in case of a fire drill or emergency?,Interns must evacuate immediately via the nearest marked exit and assemble at the designated meeting point.,Workplace Safety Policy
